"Player","Team","Bye","POS","ESPN","ADP"
"Ja'Marr Chase","CIN","10","WR1","1","1"
"Bijan Robinson","ATL","5","RB1","2","2"
"Saquon Barkley","PHI","9","RB2","3","3"
"Justin Jefferson","MIN","6","WR2","4","4"
"Jahmyr Gibbs","DET","8","RB3","5","5"
"CeeDee Lamb","DAL","10","WR3","6","6"
"Christian McCaffrey","SF","14","RB4","7","7"
"Puka Nacua","LAR","8","WR4","8","8"
"Amon-Ra St. Brown","DET","8","WR5","9","9"
"Malik Nabers","NYG","14","WR6","10","10"
"Ashton Jeanty","LV","8","RB5","11","11"
"De'Von Achane","MIA","12","RB6","12","12"
"Derrick Henry","BAL","7","RB7","13","13"
"Nico Collins","HOU","6","WR7","14","14"
"Brian Thomas Jr.","JAC","8","WR8","15","15"
"A.J. Brown","PHI","9","WR9","16","16"
"Jonathan Taylor","IND","11","RB8","17","17"
"Josh Jacobs","GB","5","RB9","18","18"
"Brock Bowers","LV","8","TE1","19","19"
"Josh Allen","BUF","7","QB1","20","20"
"Lamar Jackson","BAL","7","QB2","21","21"
"Drake London","ATL","5","WR10","22","22"
"Bucky Irving","TB","9","RB10","23","23"
"Trey McBride","ARI","8","TE2","24","24"
"Jayden Daniels","WAS","12","QB3","25","25"
"Tee Higgins","CIN","10","WR11","26","26"
"Jalen Hurts","PHI","9","QB4","27","27"
"Kyren Williams","LAR","8","RB11","28","28"
"Tyreek Hill","MIA","12","WR12","29","29"
"Chase Brown","CIN","10","RB12","30","30"
"Ladd McConkey","LAC","12","WR13","31","31"
"Joe Burrow","CIN","10","QB5","32","32"
"James Cook","BUF","7","RB13","33","33"
"Davante Adams","LAR","8","WR14","34","34"
"George Kittle","SF","14","TE3","35","35"
"Jaxon Smith-Njigba","SEA","8","WR15","36","36"
"Kenneth Walker III","SEA","8","RB14","37","37"
"Alvin Kamara","NO","11","RB15","38","38"
"Garrett Wilson","NYJ","9","WR16","39","39"
"Mike Evans","TB","9","WR17","40","40"
"Omarion Hampton","LAC","12","RB16","41","41"
"Terry McLaurin","WAS","12","WR18","42","42"
"Sam LaPorta","DET","8","TE4","43","43"
"DK Metcalf","PIT","5","WR19","44","44"
"Chuba Hubbard","CAR","14","RB17","45","45"
"Marvin Harrison Jr.","ARI","8","WR20","46","46"
"Patrick Mahomes II","KC","10","QB6","47","47"
"Breece Hall","NYJ","9","RB18","48","48"
"James Conner","ARI","8","RB19","49","49"
"Xavier Worthy","KC","10","WR21","50","50"
"Baker Mayfield","TB","9","QB7","51","51"
"DJ Moore","CHI","5","WR22","52","52"
"Zay Flowers","BAL","7","WR23","53","53"
"T.J. Hockenson","MIN","6","TE5","54","54"
"Travis Kelce","KC","10","TE6","55","55"
"D'Andre Swift","CHI","5","RB20","56","56"
"Rashee Rice","KC","10","WR24","57","57"
"Courtland Sutton","DEN","12","WR25","58","58"
"Joe Mixon","HOU","6","RB21","59","59"
"DeVonta Smith","PHI","9","WR26","60","60"
"David Montgomery","DET","8","RB22","61","61"
"Calvin Ridley","TEN","10","WR27","62","62"
"TreVeyon Henderson","NE","14","RB23","63","63"
"Travis Hunter","JAC","8","WR28","64","64"
"George Pickens","DAL","10","WR29","65","65"
"Bo Nix","DEN","12","QB8","66","66"
"Jameson Williams","DET","8","WR30","67","67"
"Jerry Jeudy","CLE","9","WR31","68","68"
"Mark Andrews","BAL","7","TE7","69","69"
"David Njoku","CLE","9","TE8","70","70"
"Jaylen Waddle","MIA","12","WR32","71","71"
"Aaron Jones Sr.","MIN","6","RB24","72","72"
